paper_id,mix_id,replacement_pct,age_days,strength_mpa,wb_block,graph_derived,age_known,mix_activation,source
46,RGP10,10.0,,14.02,,False,False,,matrix
46,RGP10,10.0,,42.2,,False,False,,sheet1
46,RGP20,20.0,,12.4,,False,False,,matrix
46,RGP20,20.0,,36.7,,False,False,,sheet1
46,PS 300,30.0,,7.64,,False,False,,matrix
46,Fibre1.25,30.0,,9.09,,False,False,,matrix
46,PS150,30.0,,9.61,,False,False,,matrix
46,FibreL6,30.0,,9.9,,False,False,,matrix
46,FibreL12,30.0,,9.92,,False,False,,matrix
46,Fibre1.5,30.0,,9.95,,False,False,,matrix
46,Fibre1.75,30.0,,10.96,,False,False,,matrix
46,RGP30,30.0,,11.24,,False,False,,matrix
46,PS 300,30.0,,26.6,,False,False,,matrix
46,FibreL6,30.0,,28.6,,False,False,,matrix
46,Fibre1.25,30.0,,29.3,,False,False,,matrix
46,PS150,30.0,,29.4,,False,False,,matrix
46,FibreL12,30.0,,31.1,,False,False,,matrix
46,Fibre1.5,30.0,,31.2,,False,False,,matrix
46,RGP30,30.0,,32.4,,False,False,,sheet1
46,Fibre1.75,30.0,,33.4,,False,False,,matrix
47,,15.0,1.0,9.0,,False,True,,sheet1
47,,15.0,3.0,23.3,,False,True,,sheet1
47,,15.0,7.0,35.5,,False,True,,sheet1
47,,15.0,28.0,48.0,,False,True,,sheet1
47,,15.0,56.0,59.0,,False,True,,sheet1
47,,30.0,3.0,17.7,,False,True,,sheet1
47,,30.0,7.0,27.3,,False,True,,sheet1
47,,30.0,28.0,35.5,,False,True,,sheet1
47,RCP30,30.0,56.0,6.3,,False,True,,sheet1
47,,30.0,56.0,42.7,,False,True,,sheet1
47,,45.0,3.0,9.7,,False,True,,sheet1
47,,45.0,7.0,16.2,,False,True,,sheet1
47,,45.0,28.0,19.8,,False,True,,sheet1
47,RCP45,45.0,56.0,3.5,,False,True,,sheet1
47,,45.0,56.0,34.0,,False,True,,sheet1
48,,0.0,,14.5,0.5,True,False,,sheet1
48,RFP10,8.0,,15.2,,True,False,,matrix
48,RCP10,8.2,,12.3,,True,False,,matrix
48,RMP10,8.2,,12.5,,True,False,,matrix
48,,10.0,,12.3,0.5,True,False,,sheet1
48,,10.0,,12.5,0.5,True,False,,sheet1
48,,10.0,,15.2,0.5,True,False,,sheet1
48,RFP20,16.1,,13.1,,True,False,,matrix
48,RCP20,16.5,,11.2,,True,False,,matrix
48,RMP20,16.5,,11.8,,True,False,,matrix
48,,20.0,,11.2,0.5,True,False,,sheet1
48,,20.0,,11.8,0.5,True,False,,sheet1
48,,20.0,,13.1,0.5,True,False,,sheet1
48,RFP30,24.1,,10.2,,True,False,,matrix
48,RCP30,24.7,,9.8,,True,False,,matrix
48,RMP30,24.7,,10.1,,True,False,,matrix
48,,30.0,,9.8,0.5,True,False,,sheet1
